,Site
0,US-Slt
1,US-Rls
2,US-PFq
3,US-xDL
4,US-xYE
5,CA-NS4
6,US-Oho
7,US-MMS
8,US-xCL
9,US-xDC
10,US-xBR
11,US-xSR
12,US-MOz
13,US-xTR
14,US-xMB
15,CA-TPD
16,US-UMd
17,US-Snf
18,US-NC1
19,US-xBL
20,CA-SF1
21,CA-NS7
22,US-xAB
23,US-CGG
24,US-xKA
25,US-SSH
26,US-SRG
27,US-xSC
28,US-EA5
29,US-Fmf
30,CA-TP1
31,US-xST
32,CA-Gro
33,US-Fwf
34,US-xWD
35,CA-NS1
36,US-xNQ
37,CA-MA3
38,US-PFt
39,US-Rws
40,US-UTB
41,US-xSE
42,US-xKZ
43,US-xRM
44,US-CS2
45,US-PFp
46,US-xNG
47,US-NC3
48,US-Var
49,US-PFm
50,US-xCP
51,US-Whs
52,US-xTA
53,US-CdM
54,US-Bar
55,CA-NS6
56,US-SRC
57,US-xUN
58,US-A32
59,US-xWR
60,US-MtB
61,US-PFn
62,US-HB3
63,US-SRS
64,US-xML
65,US-xAE
66,CA-Ca2
67,CA-NS5
68,US-xUK
69,US-Ro4
70,US-EA6
71,US-Jo2
72,US-CRK
73,CA-LP1
74,US-Cst
75,US-xJR
76,US-AR2
77,US-SHC
78,US-xRN
79,CA-SF2
80,US-GLE
81,US-Kon
82,CA-Qc2
83,US-BRG
84,CA-TP3
85,US-Me6
86,US-Mo2
87,US-xHA
88,CA-Qfo
89,US-KFS
90,US-Fuf
91,US-AR1
92,CA-Cbo
93,US-Syv
94,CA-NS3
95,US-HB2
